"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene"
"Edil3",1.19562522043847e-77,-0.20026035882839,0.52,0.582,3.80089257577388e-73,"Edil3"
"Cdh20",1.34202786994703e-77,-0.244573230291109,0.222,0.29,4.26630659856162e-73,"Cdh20"
"Cst3",1.77427867866041e-77,0.234377320671042,0.543,0.463,5.64043191946144e-73,"Cst3"
"Anxa3",6.24547850586017e-77,0.278731149577988,0.049,0.02,1.98543761701295e-72,"Anxa3"
"A230001M10Rik",1.20992109810906e-75,-0.289745251228815,0.066,0.11,3.8463391708887e-71,"A230001M10Rik"
"Tshz2",3.31851031569529e-75,-0.333630558255928,0.137,0.193,1.05495442935953e-70,"Tshz2"
"Ptprc",9.71156936362179e-74,0.268277353978461,0.043,0.017,3.08730790069537e-69,"Ptprc"
"Myo1f",4.50037670240562e-73,0.351492008050796,0.063,0.03,1.43066975369475e-68,"Myo1f"
"Plp1",2.50337592120243e-71,-0.153668859625441,0.36,0.437,7.95823205350252e-67,"Plp1"
"Runx1",1.39032268889631e-69,0.328436611625719,0.063,0.031,4.41983582800138e-65,"Runx1"
"Ctss",7.98569015195235e-69,0.233783436913704,0.066,0.033,2.53865089930565e-64,"Ctss"
"Prr5l",1.63727897082014e-67,-0.261477337824169,0.159,0.218,5.20490984823723e-63,"Prr5l"
"Ptprd",1.81005980738487e-67,-0.133945442096584,0.804,0.854,5.7541801276765e-63,"Ptprd"
"Grm3",1.21539812460868e-66,-0.224712322109579,0.331,0.395,3.863750638131e-62,"Grm3"
